sample_id,grid_id,latitude,longitude,Ni_pct,Fe_pct,Co_pct,MgO_pct,SiO2_pct,zone,qc_flag
SH0151,H015,0.612732,128.23575,0.757,18.01,0.015,22.98,28.77,saprolite,valid
SH0152,H015,0.607451,128.229755,0.77,27.95,0.017,28.41,38.64,saprolite,valid
SH0161,H016,0.610919,128.251029,0.445,10.68,0.015,4.07,54.7,soil,valid
SH0162,H016,0.606526,128.246719,0.428,8.84,0.006,43.44,41.87,bedrock,valid
SH0171,H017,0.604042,128.264251,1.186,21.64,0.008,2.06,57.34,soil,valid
SH0172,H017,0.61038,128.264035,0.662,24.03,0.033,12.83,37.47,transition,valid
SH0181,H018,0.605973,128.283687,0.558,15.35,0.025,27.43,39.42,saprolite,valid
SH0182,H018,0.606907,128.283842,0.423,21.65,0.012,5.2,55.28,soil,valid
SH0191,H019,0.605025,128.295038,0.453,18.24,0.014,28.07,28.66,saprolite,valid
SH0192,H019,0.603852,128.294691,0.608,13.86,0.042,22.68,32.46,saprolite,valid
SH0201,H020,0.605106,128.316423,1.08,42.23,0.067,7.55,36.35,limonite,valid
SH0202,H020,0.610461,128.308702,0.81,18.41,0.027,17.11,35.92,saprolite,valid
SH0211,H021,0.612927,128.323486,0.876,39.74,0.064,6.12,32.79,limonite,valid
SH0212,H021,0.609195,128.328641,1.173,16.72,0.05,18.7,38.25,saprolite,valid
SH0221,H022,0.609476,128.340135,0.01,10.24,0.013,4.27,57.4,soil,valid
SH0222,H022,0.608924,128.346575,0.232,18.67,0.021,3.99,48.79,soil,valid
SH0231,H023,0.611121,128.359744,1.088,49.02,0.084,7.47,44.44,limonite,valid
SH0232,H023,0.603051,128.362173,1.008,49.99,0.03,1.14,43.48,limonite,valid
SH0241,H024,0.609332,128.372447,0.39,42.96,0.076,5.0,44.81,limonite,valid
SH0242,H024,0.609408,128.379967,0.59,48.61,0.091,1.92,30.27,limonite,valid
SH0251,H025,0.608788,128.392854,0.467,22.65,0.024,15.32,29.31,saprolite,valid
SH0252,H025,0.61076,128.39355,0.944,15.57,0.025,4.3,52.39,soil,valid
SH0261,H026,0.608467,128.410012,0.046,7.97,0.012,47.55,49.88,bedrock,valid
SH0262,H026,0.612427,128.40511,0.162,23.54,0.01,3.18,56.91,soil,valid
SH0271,H027,0.609535,128.421409,0.858,19.46,0.014,26.56,35.65,saprolite,valid
SH0272,H027,0.608416,128.425791,0.619,21.38,0.009,8.09,58.16,soil,valid
SH0281,H028,0.60797,128.436308,0.46,11.61,0.023,7.43,56.99,soil,valid
SH0282,H028,0.612455,128.438318,0.476,11.85,0.012,38.13,45.51,bedrock,valid
SH0291,H029,0.608737,128.451472,0.468,24.54,0.023,8.12,47.48,transition,valid
SH0292,H029,0.609153,128.455534,0.507,26.61,0.021,25.98,39.28,saprolite,valid
SH0301,H030,0.607495,128.476063,0.703,48.57,0.026,5.92,37.1,limonite,valid
SH0302,H030,0.612413,128.470456,1.127,35.38,0.068,4.64,30.61,limonite,valid
SH0311,H031,0.604381,128.483118,1.346,14.86,0.035,25.25,32.93,saprolite,valid
SH0312,H031,0.609114,128.483424,0.891,21.65,0.029,20.02,32.92,saprolite,valid
SH0321,H032,0.606825,128.50731,0.548,14.35,0.034,15.46,34.5,saprolite,valid
SH0322,H032,0.60695,128.503761,0.513,22.26,0.037,13.32,44.29,transition,valid
SH0331,H033,0.604524,128.516907,0.78,27.85,0.031,11.37,39.17,transition,valid
SH0332,H033,0.6104,128.519085,0.624,12.38,0.011,7.06,57.47,soil,valid
SH0341,H034,0.612963,128.539749,0.659,47.47,0.088,7.2,43.15,limonite,valid
SH0342,H034,0.612544,128.535816,0.909,26.52,0.041,15.56,34.39,saprolite,valid
SH0351,H035,0.612829,128.551894,0.696,39.85,0.083,7.29,42.59,limonite,valid
SH0352,H035,0.6123,128.553266,0.636,36.33,0.056,4.65,37.89,limonite,valid
SH0361,H036,0.611537,128.564473,0.626,21.03,0.04,11.02,37.91,transition,valid
SH0362,H036,0.612988,128.570228,0.694,30.55,0.017,17.06,35.95,transition,valid
SH0371,H037,0.608505,128.579068,1.018,21.9,0.017,21.82,34.16,saprolite,valid
SH0372,H037,0.603358,128.587578,0.845,46.32,0.041,4.83,34.94,limonite,valid
SH0381,H038,0.608111,128.599457,0.768,15.17,0.011,18.54,37.65,saprolite,valid
SH0382,H038,0.603794,128.601858,0.474,38.66,0.043,4.31,39.16,limonite,valid
SH0391,H039,0.604196,128.614983,0.841,26.65,0.011,9.85,43.57,transition,valid
SH0392,H039,0.603758,128.61312,1.139,24.15,0.012,13.41,40.12,transition,valid
SH0401,H040,0.604878,128.635691,0.717,19.12,0.015,2.13,53.9,soil,valid
SH0402,H040,0.605899,128.633204,1.121,40.31,0.027,4.42,36.58,limonite,valid
SH0411,H041,0.606681,128.645472,0.618,19.5,0.025,15.82,29.65,saprolite,valid
SH0412,H041,0.60686,128.645635,0.376,22.69,0.013,7.91,55.16,soil,valid
SH0421,H042,0.606644,128.659228,1.537,19.73,0.024,20.38,32.89,saprolite,valid
SH0422,H042,0.612621,128.660556,1.229,22.22,0.016,26.48,29.34,saprolite,valid
SH0431,H043,0.60494,128.682455,0.897,24.63,0.013,15.3,36.08,saprolite,valid
SH0432,H043,0.609947,128.681394,1.309,13.97,0.045,29.86,29.73,saprolite,valid
SH0441,H044,0.607136,128.694955,1.404,18.58,0.021,4.86,49.38,soil,valid
SH0442,H044,0.608316,128.699131,1.948,26.04,0.05,17.55,33.97,saprolite,valid
SH0451,H045,0.611275,128.715307,1.0,12.09,0.02,4.77,47.68,soil,valid
SH0452,H045,0.604184,128.710518,1.395,38.26,0.022,1.47,40.6,limonite,valid
SH0461,H046,0.604626,128.729152,0.465,48.17,0.048,7.85,32.98,limonite,valid
SH0462,H046,0.607722,128.728721,0.685,12.63,0.049,17.92,29.07,saprolite,valid
SH0471,H047,0.603916,128.739829,0.691,21.65,0.024,9.32,53.26,soil,valid
SH0472,H047,0.607618,128.740093,0.173,11.24,0.006,7.46,53.7,soil,valid
SH0481,H048,0.608319,128.758392,0.605,27.17,0.043,19.44,30.69,saprolite,valid
SH0482,H048,0.607695,128.759399,1.103,32.75,0.023,16.52,41.26,transition,valid
SH0491,H049,0.604012,128.773562,0.725,22.88,0.022,28.6,29.93,saprolite,valid
SH0492,H049,0.606912,128.78025,1.387,34.24,0.03,17.95,35.57,transition,valid
SH0501,H050,0.607232,128.795469,3.751,42.93,0.084,3.12,39.77,limonite,valid
SH0502,H050,0.607757,128.793724,2.571,43.95,0.038,6.21,40.79,limonite,valid
SH0511,H051,0.607215,128.807525,0.218,15.93,0.015,6.34,49.29,soil,valid
SH0512,H051,0.606682,128.809257,0.214,16.87,0.016,8.33,57.88,soil,valid
SH0521,H052,0.604955,128.825725,0.559,26.44,0.013,24.72,29.4,saprolite,valid
SH0522,H052,0.610597,128.823546,0.693,16.97,0.026,25.21,31.53,saprolite,valid
SH0531,H053,0.606933,128.836274,1.091,49.08,0.078,3.38,41.88,limonite,valid
SH0532,H053,0.60341,128.835961,1.284,36.25,0.024,4.08,41.23,limonite,valid
SH0541,H054,0.605764,128.8605,0.729,31.2,0.04,17.53,44.86,transition,valid
SH0542,H054,0.606805,128.851563,0.915,39.87,0.089,3.11,38.99,limonite,valid
SH0551,H055,0.6064,128.86701,0.031,23.04,0.011,4.99,51.58,soil,valid
SH0552,H055,0.605532,128.867989,0.044,36.36,0.091,7.52,39.6,limonite,valid
SH0561,H056,0.609317,128.890604,0.586,35.5,0.066,5.28,31.6,limonite,valid
SH0562,H056,0.608751,128.885955,0.784,22.77,0.067,15.1,47.05,transition,valid
SH0571,H057,0.612514,128.903087,0.793,47.23,0.024,7.59,36.62,limonite,valid
SH0572,H057,0.61268,128.900065,0.393,30.65,0.033,17.99,43.23,transition,valid
SH0581,H058,0.611412,128.920102,0.843,35.71,0.072,5.1,40.16,limonite,valid
SH0582,H058,0.605276,128.91891,0.389,45.48,0.037,4.46,38.31,limonite,valid
SH0591,H059,0.607728,128.934796,1.345,28.36,0.017,12.86,42.38,transition,valid
SH0592,H059,0.610621,128.938715,1.109,19.04,0.042,25.16,33.79,saprolite,valid
SH0601,H060,0.609405,128.947573,0.317,13.29,0.023,19.41,37.41,saprolite,valid
SH0602,H060,0.604605,128.950874,0.268,18.81,0.044,28.25,30.47,saprolite,valid
SH0611,H061,0.605627,128.967603,1.443,23.64,0.021,24.2,31.48,saprolite,valid
SH0612,H061,0.611096,128.968709,0.905,16.81,0.008,8.36,52.29,soil,valid
SH0621,H062,0.604059,128.988471,1.298,42.31,0.055,6.32,39.58,limonite,valid
SH0622,H062,0.607278,128.984985,1.458,17.2,0.046,25.16,30.05,saprolite,valid
SH0631,H063,0.605711,129.0006,1.648,47.15,0.05,6.69,36.35,limonite,valid
SH0632,H063,0.608556,129.00414,1.14,14.88,0.036,17.78,29.75,saprolite,valid
SH0641,H064,0.610967,129.014137,1.176,16.54,0.021,5.7,57.68,soil,valid
SH0642,H064,0.606562,129.019668,1.117,27.59,0.022,26.46,30.04,saprolite,valid
SH0651,H065,0.612246,129.02707,0.723,14.14,0.01,7.39,53.94,soil,valid
SH0652,H065,0.608809,129.035209,0.846,48.42,0.054,5.12,41.14,limonite,valid
SH0661,H066,0.612132,129.047472,0.984,18.61,0.015,6.77,49.73,soil,valid
SH0662,H066,0.612734,129.044142,0.858,30.0,0.029,12.87,43.51,transition,valid
SH0671,H067,0.608705,129.059702,0.401,17.57,0.014,3.55,58.77,soil,valid
SH0672,H067,0.606773,129.063638,0.983,24.93,0.039,22.88,29.13,saprolite,valid
SH0681,H068,0.607604,129.079221,0.545,15.07,0.009,4.58,49.55,soil,valid
SH0682,H068,0.612174,129.082799,0.083,38.7,0.038,4.42,39.7,limonite,valid
SH0691,H069,0.610196,129.099322,0.639,12.97,0.01,4.55,47.17,soil,valid
SH0692,H069,0.608018,129.093778,0.594,19.68,0.024,4.83,52.4,soil,valid
SH0701,H070,0.61075,129.110293,0.899,13.84,0.027,22.86,28.31,saprolite,valid
SH0702,H070,0.60616,129.111388,0.974,38.75,0.098,7.07,31.59,limonite,valid
SH0711,H071,0.611925,129.126686,1.026,23.47,0.014,19.08,31.5,saprolite,valid
SH0712,H071,0.603997,129.132368,0.658,20.03,0.06,11.81,41.25,transition,valid
SH0721,H072,0.60321,129.144121,0.683,23.07,0.011,21.57,37.96,saprolite,valid
SH0722,H072,0.610058,129.140267,0.8,19.22,0.023,29.05,28.48,saprolite,valid
SH0731,H073,0.611139,129.163416,0.746,38.94,0.023,5.06,38.2,limonite,valid
SH0732,H073,0.612901,129.157171,0.268,33.02,0.03,9.25,47.86,transition,valid
SH0741,H074,0.61193,129.179289,1.2,27.2,0.038,22.87,37.31,saprolite,valid
SH0742,H074,0.60623,129.174441,1.033,13.27,0.047,19.51,39.81,saprolite,valid
SH0751,H075,0.603807,129.194343,0.258,10.9,0.01,44.15,43.88,bedrock,valid
SH0752,H075,0.607367,129.192719,0.441,35.89,0.076,1.77,40.09,limonite,valid
SH0761,H076,0.608583,129.210169,0.895,17.98,0.035,27.04,39.46,saprolite,valid
SH0762,H076,0.607695,129.204294,0.955,18.27,0.025,5.96,54.85,soil,valid
SH0771,H077,0.609699,129.219909,0.561,18.98,0.015,7.31,57.37,soil,valid
SH0772,H077,0.604387,129.224681,0.056,49.66,0.089,4.27,31.22,limonite,valid
SH0781,H078,0.607895,129.242644,0.872,37.15,0.061,6.47,40.72,limonite,valid
SH0782,H078,0.608298,129.242659,0.525,17.48,0.008,7.02,55.12,soil,valid
SH0791,H079,0.604393,129.253678,0.738,37.16,0.078,1.46,37.88,limonite,valid
SH0792,H079,0.610812,129.257241,0.664,15.66,0.034,22.51,37.49,saprolite,valid
SH0801,H080,0.604045,129.273664,1.58,27.24,0.049,15.25,28.31,saprolite,valid
SH0802,H080,0.603571,129.272113,1.495,49.35,0.065,2.66,30.86,limonite,valid
SH0811,H081,0.612885,129.28657,0.919,25.67,0.022,28.24,37.24,saprolite,valid
SH0812,H081,0.611106,129.283411,0.528,39.2,0.093,2.83,44.38,limonite,valid
SH0821,H082,0.605926,129.307639,1.045,35.21,0.068,5.48,44.61,limonite,valid
SH0822,H082,0.610893,129.30764,1.454,40.73,0.08,1.38,44.33,limonite,valid
SH0831,H083,0.604379,129.322712,1.326,28.89,0.041,10.53,38.59,transition,valid
SH0832,H083,0.612668,129.324805,1.795,26.76,0.05,20.41,33.8,saprolite,valid
SH0841,H084,0.6089,129.337321,0.01,21.15,0.01,5.97,47.49,soil,valid
SH0842,H084,0.609368,129.337586,0.01,24.37,0.012,3.54,53.24,soil,valid
SH0851,H085,0.607495,129.347684,0.405,49.14,0.077,5.81,38.49,limonite,valid
SH0852,H085,0.611898,129.353922,0.572,42.97,0.034,6.86,32.28,limonite,valid
SH0861,H086,0.611004,129.367926,1.094,48.0,0.088,5.16,43.98,limonite,valid
SH0862,H086,0.610943,129.363349,1.125,41.0,0.064,6.35,30.99,limonite,valid
SH0871,H087,0.608356,129.380161,0.906,26.95,0.027,23.18,32.39,saprolite,valid
SH0872,H087,0.60574,129.386692,0.686,24.99,0.041,9.45,37.11,transition,valid
SH0881,H088,0.612853,129.396569,1.051,41.58,0.045,7.27,42.24,limonite,valid
SH0882,H088,0.605732,129.396088,1.497,18.03,0.012,24.9,32.81,saprolite,valid
SH0891,H089,0.60401,129.418307,0.609,13.27,0.027,24.77,35.81,saprolite,valid
SH0892,H089,0.605081,129.415534,0.565,46.77,0.032,7.56,30.86,limonite,valid
SH0901,H090,0.611959,129.435879,0.824,33.12,0.057,15.35,46.34,transition,valid
SH0902,H090,0.607769,129.431271,1.249,24.95,0.02,20.64,31.88,saprolite,valid
SH0911,H091,0.604757,129.45156,0.751,34.5,0.028,17.27,43.13,transition,valid
SH0912,H091,0.603174,129.444498,0.541,44.43,0.025,2.37,41.85,limonite,valid
SH0921,H092,0.609976,129.464104,0.109,23.03,0.024,4.2,59.71,soil,valid
SH0922,H092,0.612071,129.461541,0.439,35.95,0.054,6.58,42.61,limonite,valid
SH0931,H093,0.610736,129.475299,1.038,33.76,0.025,16.33,40.44,transition,valid
SH0932,H093,0.607343,129.482815,0.88,17.4,0.008,4.47,49.6,soil,valid
SH0941,H094,0.603653,129.493633,0.367,47.29,0.095,4.58,35.08,limonite,valid
SH0942,H094,0.607487,129.495572,0.3,18.43,0.024,9.59,58.1,soil,valid
SH0951,H095,0.60362,129.515793,1.665,26.16,0.054,14.52,42.64,transition,valid
SH0952,H095,0.606989,129.515361,1.071,13.03,0.021,27.59,32.65,saprolite,valid
SH0961,H096,0.608767,129.525761,1.359,23.18,0.02,6.0,53.74,soil,valid
SH0962,H096,0.6071,129.527774,1.348,21.08,0.041,9.76,47.81,transition,valid
SH0971,H097,0.608388,129.542634,0.294,11.08,0.022,7.03,48.28,soil,valid
SH0972,H097,0.611671,129.547667,0.01,21.01,0.008,8.4,58.31,soil,valid
SH0981,H098,0.60842,129.561444,0.738,49.37,0.084,1.28,32.17,limonite,valid
SH0982,H098,0.608843,129.560419,1.131,41.9,0.039,4.79,33.69,limonite,valid
SH0991,H099,0.608109,129.576514,0.885,36.38,0.05,5.15,43.16,limonite,valid
SH0992,H099,0.61243,129.57289,0.769,23.74,0.035,25.12,37.81,saprolite,valid
SH1001,H100,0.608967,129.588911,0.971,18.43,0.021,3.43,46.7,soil,valid
SH1002,H100,0.610856,129.593286,0.973,27.69,0.035,23.33,32.14,saprolite,valid
SH1011,H101,0.623738,128.008691,1.826,46.69,0.097,2.4,32.42,limonite,valid
SH1012,H101,0.628423,128.003041,1.814,12.61,0.024,4.38,55.33,soil,valid
SH1021,H102,0.620039,128.024394,0.494,23.53,0.02,9.71,43.32,transition,valid
SH1022,H102,0.624046,128.026879,0.954,23.45,0.014,4.95,45.16,soil,valid
SH1031,H103,0.621921,128.044913,0.594,11.02,0.023,8.56,46.75,soil,valid
SH1032,H103,0.626058,128.044013,0.563,21.11,0.011,8.35,36.79,transition,valid
SH1041,H104,0.624174,128.053824,0.688,46.26,0.099,4.66,42.2,limonite,valid
SH1042,H104,0.628243,128.060402,0.873,36.59,0.035,7.34,30.52,limonite,valid
SH1051,H105,0.621851,128.07621,0.577,20.29,0.02,29.87,29.38,saprolite,valid
SH1052,H105,0.620083,128.071683,0.238,11.77,0.016,4.41,53.47,soil,valid
SH1061,H106,0.625843,128.085848,1.516,34.04,0.013,15.61,39.43,transition,valid
SH1062,H106,0.627629,128.090156,1.56,27.04,0.053,9.98,40.56,transition,valid
SH1071,H107,0.621588,128.107722,0.554,21.5,0.043,11.24,38.03,transition,valid
SH1072,H107,0.624249,128.107829,0.901,41.12,0.028,2.28,35.67,limonite,valid
SH1081,H108,0.624389,128.123632,0.783,40.95,0.024,6.81,37.72,limonite,valid
SH1082,H108,0.620491,128.124812,0.96,24.17,0.019,25.16,38.53,saprolite,valid
SH1091,H109,0.625276,128.136455,0.359,13.09,0.008,6.48,51.48,soil,valid
SH1092,H109,0.623931,128.140549,0.627,26.13,0.041,29.31,28.28,saprolite,valid
SH1101,H110,0.624398,128.152755,0.243,7.0,0.011,44.43,44.09,bedrock,valid
SH1102,H110,0.62016,128.149073,0.044,24.72,0.005,3.42,50.5,soil,valid
SH1111,H111,0.625191,128.1727,0.872,22.87,0.059,8.5,39.53,transition,valid
SH1112,H111,0.622106,128.164639,0.719,43.12,0.041,3.46,32.5,limonite,valid
SH1121,H112,0.62344,128.187957,0.708,22.08,0.028,13.62,46.58,transition,valid
SH1122,H112,0.622349,128.182256,0.56,21.02,0.069,17.31,36.74,transition,valid
SH1131,H113,0.627087,128.200759,0.726,18.02,0.04,23.16,29.59,saprolite,valid
SH1132,H113,0.622074,128.204715,0.01,20.09,0.008,9.18,52.04,soil,valid
SH1141,H114,0.620566,128.213956,1.031,43.19,0.073,3.26,42.27,limonite,valid
SH1142,H114,0.621387,128.211369,0.523,22.41,0.016,15.3,29.91,saprolite,valid
SH1151,H115,0.625679,128.234987,3.034,48.26,0.057,5.12,39.14,limonite,valid
SH1152,H115,0.619904,128.230552,3.078,22.91,0.032,19.19,35.28,saprolite,valid
SH1161,H116,0.626008,128.251975,1.312,17.13,0.007,3.65,54.08,soil,valid
SH1162,H116,0.623439,128.244632,1.323,20.14,0.019,22.26,28.09,saprolite,valid
SH1171,H117,0.62491,128.263009,0.324,33.32,0.035,11.77,42.07,transition,valid
SH1172,H117,0.626016,128.267056,0.354,41.44,0.021,7.63,36.73,limonite,valid
SH1181,H118,0.621229,128.279982,0.016,6.46,0.006,43.82,44.19,bedrock,valid
SH1182,H118,0.623987,128.282364,0.332,46.89,0.047,5.45,32.24,limonite,valid
SH1191,H119,0.622055,128.292271,0.969,18.13,0.031,23.61,35.72,saprolite,valid
SH1192,H119,0.625088,128.291914,0.99,27.31,0.013,16.56,43.04,transition,valid
SH1201,H120,0.623238,128.307648,1.167,16.42,0.046,21.68,28.38,saprolite,valid
SH1202,H120,0.628529,128.309632,1.537,40.71,0.032,3.74,30.62,limonite,valid
SH1211,H121,0.6281,128.332105,1.033,39.21,0.072,6.8,42.28,limonite,valid
SH1212,H121,0.621477,128.328769,0.781,25.75,0.025,18.8,37.6,saprolite,valid
SH1221,H122,0.627163,128.342343,0.261,11.87,0.006,36.99,45.02,bedrock,valid
SH1222,H122,0.625022,128.345392,0.01,19.37,0.02,3.67,53.46,soil,valid
SH1231,H123,0.621396,128.356861,0.69,17.1,0.042,29.71,39.1,saprolite,valid
SH1232,H123,0.622759,128.357313,0.649,42.3,0.056,5.89,35.44,limonite,valid
SH1241,H124,0.627819,128.373056,1.154,11.89,0.006,9.52,47.69,soil,valid
SH1242,H124,0.623366,128.372786,0.94,49.69,0.095,7.33,43.91,limonite,valid
SH1251,H125,0.625357,128.389601,0.838,27.31,0.068,9.14,46.93,transition,valid
SH1252,H125,0.62618,128.389474,0.487,18.89,0.05,29.54,31.45,saprolite,valid
SH1261,H126,0.622837,128.407815,1.345,21.62,0.019,29.54,32.97,saprolite,valid
SH1262,H126,0.621238,128.405191,1.707,12.8,0.013,18.53,39.52,saprolite,valid
SH1271,H127,0.620391,128.423723,0.758,41.68,0.027,5.93,43.35,limonite,valid
SH1272,H127,0.627011,128.428719,0.85,22.24,0.032,23.42,30.28,saprolite,valid
SH1281,H128,0.624122,128.437499,0.533,27.42,0.023,15.98,37.42,saprolite,valid
SH1282,H128,0.628649,128.438418,0.679,35.96,0.086,1.3,44.39,limonite,valid
SH1291,H129,0.628912,128.45104,1.092,26.87,0.062,8.3,38.31,transition,valid
SH1292,H129,0.622977,128.451433,0.588,31.96,0.038,11.32,47.81,transition,valid
SH1301,H130,0.621926,128.471182,0.283,48.99,0.035,2.95,36.79,limonite,valid
SH1302,H130,0.624996,128.474648,0.248,24.29,0.02,2.22,45.37,soil,valid
SH1311,H131,0.619795,128.485135,0.987,38.23,0.069,7.72,34.95,limonite,valid
SH1312,H131,0.62324,128.484889,0.891,38.58,0.029,1.31,31.09,limonite,valid
SH1321,H132,0.62093,128.499454,0.341,39.08,0.078,3.89,33.48,limonite,valid
SH1322,H132,0.626134,128.500998,0.294,22.64,0.024,22.45,31.79,saprolite,valid
SH1331,H133,0.628687,128.520541,0.641,23.22,0.022,20.84,39.94,saprolite,valid
SH1332,H133,0.620573,128.515281,0.807,13.76,0.025,28.19,29.61,saprolite,valid
SH1341,H134,0.626677,128.534267,0.62,27.57,0.031,16.74,38.79,transition,valid
SH1342,H134,0.619917,128.534118,0.508,18.33,0.034,25.76,38.86,saprolite,valid
SH1351,H135,0.627375,128.552754,0.693,37.38,0.063,5.13,32.01,limonite,valid
SH1352,H135,0.621094,128.553092,0.822,21.4,0.024,4.72,50.98,soil,valid
SH1361,H136,0.626083,128.571104,1.172,13.31,0.016,5.74,50.21,soil,valid
SH1362,H136,0.625012,128.571757,0.722,27.43,0.028,17.63,38.84,saprolite,valid
SH1371,H137,0.624494,128.582923,1.181,36.97,0.048,7.97,36.08,limonite,valid
SH1372,H137,0.624026,128.581026,0.943,22.93,0.068,17.79,41.23,transition,valid
SH1381,H138,0.622612,128.598694,0.147,22.83,0.021,2.24,51.51,soil,valid
SH1382,H138,0.627028,128.600562,0.022,16.19,0.018,8.72,46.12,soil,valid
SH1391,H139,0.628941,128.620295,1.583,23.27,0.048,15.86,40.48,transition,valid
SH1392,H139,0.623858,128.614452,1.695,22.25,0.011,6.16,45.71,soil,valid
SH1401,H140,0.624598,128.632066,0.981,29.61,0.044,11.63,35.35,transition,valid
SH1402,H140,0.621931,128.633121,1.126,15.37,0.017,9.84,45.46,soil,valid
SH1411,H141,0.628056,128.646831,0.671,36.23,0.055,2.92,33.47,limonite,valid
SH1412,H141,0.621679,128.643994,0.444,13.44,0.028,24.1,37.46,saprolite,valid
SH1421,H142,0.628848,128.664091,0.286,42.76,0.078,3.99,43.17,limonite,valid
SH1422,H142,0.628357,128.668242,0.084,19.86,0.014,19.22,32.04,saprolite,valid
SH1431,H143,0.624346,128.684982,1.509,22.76,0.026,27.15,34.52,saprolite,valid
SH1432,H143,0.627047,128.677356,1.684,15.91,0.027,29.43,38.19,saprolite,valid
SH1441,H144,0.625689,128.69642,1.296,41.37,0.062,7.4,43.0,limonite,valid
SH1442,H144,0.619787,128.693825,1.053,24.83,0.026,16.97,31.39,saprolite,valid
SH1451,H145,0.622878,128.709554,0.567,38.97,0.073,6.91,40.73,limonite,valid
SH1452,H145,0.621974,128.709471,0.566,24.71,0.009,3.06,57.37,soil,valid
SH1461,H146,0.624739,128.732571,0.694,49.34,0.067,7.22,36.42,limonite,valid
SH1462,H146,0.626729,128.728485,0.616,22.96,0.043,17.78,28.46,saprolite,valid
SH1471,H147,0.622102,128.74628,0.81,27.08,0.035,28.67,38.16,saprolite,valid
SH1472,H147,0.622832,128.740118,0.813,24.73,0.021,12.26,46.96,transition,valid
SH1481,H148,0.626642,128.758294,0.524,21.59,0.032,16.25,37.32,transition,valid
SH1482,H148,0.627078,128.762951,0.266,38.19,0.066,3.32,43.45,limonite,valid
SH1491,H149,0.623649,128.776004,0.157,8.25,0.009,44.42,45.26,bedrock,valid
SH1492,H149,0.627333,128.779724,0.01,23.98,0.013,6.7,58.88,soil,valid
SH1501,H150,0.628905,128.791487,0.848,24.52,0.031,24.69,34.49,saprolite,valid
SH1502,H150,0.624136,128.789586,0.898,36.87,0.031,3.76,37.02,limonite,valid
SH1511,H151,0.621744,128.810569,0.524,14.06,0.021,16.67,37.7,saprolite,valid
SH1512,H151,0.623175,128.807099,0.845,21.41,0.028,24.31,37.34,saprolite,valid
SH1521,H152,0.623024,128.822254,0.182,20.85,0.025,4.01,58.92,soil,valid
SH1522,H152,0.623888,128.825936,0.451,40.53,0.032,1.96,42.55,limonite,valid
SH1531,H153,0.628019,128.841204,0.909,11.56,0.02,5.21,46.26,soil,valid
SH1532,H153,0.62441,128.836802,0.998,13.26,0.013,7.59,45.4,soil,valid
SH1541,H154,0.62062,128.851271,0.475,33.6,0.039,13.16,38.95,transition,valid
SH1542,H154,0.621562,128.859906,1.328,48.3,0.061,1.37,40.22,limonite,valid
