grid_id,lithology,slope_deg,distance_to_river_m,distance_to_road_m,legal_status,distance_to_smelter_km,area_ha,longitude,latitude,region_id,lith_alluvium,lith_andesite,lith_lahar_deposit,lith_mafic_volcanic_simulated,lith_peridotite_simulated,lith_serpentinite_simulated,lith_tuff,lith_ultramafic_simulated,lith_volcanic_breccia,legal_allowed,legal_conditional,legal_no_go
H013,serpentinite_simulated,3.8,567.0,1752.0,conditional,223.7,157.2,128.192,0.6,SW,0,0,0,0,0,1,0,0,0,0,1,0
H014,peridotite_simulated,16.6,1055.0,1255.0,allowed,221.8,138.3,128.208,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H015,ultramafic_simulated,14.5,674.0,302.0,allowed,219.9,119.4,128.224,0.6,SW,0,0,0,0,0,0,0,1,0,1,0,0
H016,mafic_volcanic_simulated,3.4,624.0,521.0,no-go,218.1,145.6,128.24,0.6,SW,0,0,0,1,0,0,0,0,0,0,0,1
H017,peridotite_simulated,6.2,1057.0,1654.0,allowed,216.3,112.7,128.256,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H018,serpentinite_simulated,17.9,808.0,1702.0,allowed,214.5,131.1,128.272,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H019,serpentinite_simulated,5.7,327.0,527.0,allowed,212.8,137.9,128.288,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H020,serpentinite_simulated,17.0,720.0,1813.0,allowed,211.1,147.1,128.304,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H021,serpentinite_simulated,8.8,603.0,2633.0,allowed,209.4,140.4,128.32,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H022,mafic_volcanic_simulated,5.0,582.0,1650.0,allowed,207.8,116.7,128.336,0.6,SW,0,0,0,1,0,0,0,0,0,1,0,0
H023,peridotite_simulated,18.0,1016.0,3401.0,allowed,206.2,155.6,128.352,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H024,peridotite_simulated,8.4,146.0,1513.0,allowed,204.7,159.1,128.368,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H025,peridotite_simulated,17.3,1195.0,2078.0,allowed,203.2,143.1,128.384,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H026,alluvium,10.7,918.0,483.0,allowed,201.7,135.1,128.4,0.6,SW,1,0,0,0,0,0,0,0,0,1,0,0
H027,serpentinite_simulated,3.3,288.0,2204.0,no-go,200.3,140.5,128.416,0.6,SW,0,0,0,0,0,1,0,0,0,0,0,1
H028,mafic_volcanic_simulated,11.5,774.0,1642.0,allowed,199.0,135.0,128.432,0.6,SW,0,0,0,1,0,0,0,0,0,1,0,0
H029,serpentinite_simulated,5.8,523.0,2449.0,conditional,197.7,118.0,128.448,0.6,SW,0,0,0,0,0,1,0,0,0,0,1,0
H030,serpentinite_simulated,18.0,1196.0,534.0,allowed,196.4,112.8,128.464,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H031,ultramafic_simulated,11.8,1186.0,2393.0,conditional,195.2,100.5,128.48,0.6,SW,0,0,0,0,0,0,0,1,0,0,1,0
H032,ultramafic_simulated,4.1,209.0,643.0,no-go,194.1,133.2,128.496,0.6,SW,0,0,0,0,0,0,0,1,0,0,0,1
H033,ultramafic_simulated,12.1,376.0,1863.0,allowed,193.0,154.3,128.512,0.6,SW,0,0,0,0,0,0,0,1,0,1,0,0
H034,serpentinite_simulated,12.2,373.0,2672.0,conditional,192.0,133.1,128.528,0.6,SW,0,0,0,0,0,1,0,0,0,0,1,0
H035,serpentinite_simulated,16.5,691.0,2971.0,no-go,191.0,135.0,128.544,0.6,SW,0,0,0,0,0,1,0,0,0,0,0,1
H036,serpentinite_simulated,14.7,1044.0,3177.0,no-go,190.1,112.6,128.56,0.6,SW,0,0,0,0,0,1,0,0,0,0,0,1
H037,ultramafic_simulated,8.5,775.0,795.0,no-go,189.2,155.8,128.576,0.6,SW,0,0,0,0,0,0,0,1,0,0,0,1
H038,ultramafic_simulated,16.0,1042.0,1012.0,allowed,188.4,149.0,128.592,0.6,SW,0,0,0,0,0,0,0,1,0,1,0,0
H039,ultramafic_simulated,2.4,296.0,1350.0,allowed,187.6,151.9,128.608,0.6,SW,0,0,0,0,0,0,0,1,0,1,0,0
H040,peridotite_simulated,17.7,681.0,3306.0,allowed,186.9,106.9,128.624,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H041,serpentinite_simulated,13.7,431.0,2240.0,allowed,186.3,130.7,128.64,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H042,serpentinite_simulated,2.0,1117.0,2023.0,conditional,185.7,143.2,128.656,0.6,SW,0,0,0,0,0,1,0,0,0,0,1,0
H043,serpentinite_simulated,12.6,450.0,1305.0,allowed,185.2,150.9,128.672,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H044,serpentinite_simulated,8.4,411.0,707.0,allowed,184.8,125.2,128.688,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H045,serpentinite_simulated,2.0,401.0,1676.0,allowed,184.4,134.8,128.704,0.6,SW,0,0,0,0,0,1,0,0,0,1,0,0
H046,peridotite_simulated,9.6,1089.0,2847.0,allowed,184.1,110.2,128.72,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H047,peridotite_simulated,15.1,921.0,2453.0,allowed,183.8,113.5,128.736,0.6,SW,0,0,0,0,1,0,0,0,0,1,0,0
H048,ultramafic_simulated,8.6,785.0,922.0,allowed,183.6,141.8,128.752,0.6,SW,0,0,0,0,0,0,0,1,0,1,0,0
H049,ultramafic_simulated,14.0,942.0,641.0,allowed,183.5,125.5,128.768,0.6,SW,0,0,0,0,0,0,0,1,0,1,0,0
H050,serpentinite_simulated,9.3,978.0,2436.0,no-go,183.4,159.3,128.784,0.6,SW,0,0,0,0,0,1,0,0,0,0,0,1
H051,mafic_volcanic_simulated,13.5,645.0,2958.0,conditional,183.4,132.9,128.8,0.6,SE,0,0,0,1,0,0,0,0,0,0,1,0
H052,serpentinite_simulated,14.3,664.0,2306.0,conditional,183.5,116.5,128.816,0.6,SE,0,0,0,0,0,1,0,0,0,0,1,0
H053,serpentinite_simulated,10.6,235.0,1040.0,allowed,183.6,141.6,128.832,0.6,SE,0,0,0,0,0,1,0,0,0,1,0,0
H054,peridotite_simulated,8.7,312.0,1644.0,allowed,183.8,154.3,128.848,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H055,mafic_volcanic_simulated,8.1,87.0,1426.0,conditional,184.1,145.2,128.864,0.6,SE,0,0,0,1,0,0,0,0,0,0,1,0
H056,peridotite_simulated,5.5,326.0,1695.0,conditional,184.4,101.7,128.88,0.6,SE,0,0,0,0,1,0,0,0,0,0,1,0
H057,peridotite_simulated,9.5,223.0,2291.0,allowed,184.8,101.6,128.896,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H058,serpentinite_simulated,4.2,597.0,461.0,conditional,185.2,122.7,128.912,0.6,SE,0,0,0,0,0,1,0,0,0,0,1,0
H059,ultramafic_simulated,14.0,1012.0,1107.0,allowed,185.7,104.9,128.928,0.6,SE,0,0,0,0,0,0,0,1,0,1,0,0
H060,ultramafic_simulated,17.2,303.0,365.0,conditional,186.3,109.1,128.944,0.6,SE,0,0,0,0,0,0,0,1,0,0,1,0
H061,peridotite_simulated,13.2,939.0,837.0,allowed,186.9,136.4,128.96,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H062,ultramafic_simulated,3.7,109.0,1298.0,no-go,187.6,140.6,128.976,0.6,SE,0,0,0,0,0,0,0,1,0,0,0,1
H063,ultramafic_simulated,13.0,783.0,626.0,allowed,188.4,146.3,128.992,0.6,SE,0,0,0,0,0,0,0,1,0,1,0,0
H064,serpentinite_simulated,14.5,469.0,1671.0,no-go,189.2,122.2,129.008,0.6,SE,0,0,0,0,0,1,0,0,0,0,0,1
H065,ultramafic_simulated,3.7,1156.0,2334.0,no-go,190.1,149.7,129.024,0.6,SE,0,0,0,0,0,0,0,1,0,0,0,1
H066,ultramafic_simulated,6.3,985.0,2022.0,no-go,191.0,129.0,129.04,0.6,SE,0,0,0,0,0,0,0,1,0,0,0,1
H067,serpentinite_simulated,15.3,177.0,3121.0,no-go,192.0,114.6,129.056,0.6,SE,0,0,0,0,0,1,0,0,0,0,0,1
H068,serpentinite_simulated,15.6,284.0,979.0,allowed,193.0,147.9,129.072,0.6,SE,0,0,0,0,0,1,0,0,0,1,0,0
H069,ultramafic_simulated,2.2,1142.0,574.0,allowed,194.1,143.2,129.088,0.6,SE,0,0,0,0,0,0,0,1,0,1,0,0
H070,ultramafic_simulated,9.9,968.0,598.0,conditional,195.2,113.3,129.104,0.6,SE,0,0,0,0,0,0,0,1,0,0,1,0
H071,peridotite_simulated,10.5,557.0,2687.0,allowed,196.4,119.8,129.12,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H072,serpentinite_simulated,5.1,214.0,2015.0,allowed,197.7,145.7,129.136,0.6,SE,0,0,0,0,0,1,0,0,0,1,0,0
H073,peridotite_simulated,17.6,668.0,1206.0,conditional,199.0,106.0,129.152,0.6,SE,0,0,0,0,1,0,0,0,0,0,1,0
H074,serpentinite_simulated,10.5,387.0,3418.0,allowed,200.3,133.2,129.168,0.6,SE,0,0,0,0,0,1,0,0,0,1,0,0
H075,mafic_volcanic_simulated,16.0,723.0,1802.0,allowed,201.7,126.4,129.184,0.6,SE,0,0,0,1,0,0,0,0,0,1,0,0
H076,ultramafic_simulated,3.2,785.0,472.0,allowed,203.2,109.0,129.2,0.6,SE,0,0,0,0,0,0,0,1,0,1,0,0
H077,alluvium,14.2,759.0,2830.0,allowed,204.7,113.5,129.216,0.6,SE,1,0,0,0,0,0,0,0,0,1,0,0
H078,peridotite_simulated,17.8,422.0,2287.0,no-go,206.2,136.6,129.232,0.6,SE,0,0,0,0,1,0,0,0,0,0,0,1
H079,ultramafic_simulated,4.8,164.0,309.0,allowed,207.8,127.0,129.248,0.6,SE,0,0,0,0,0,0,0,1,0,1,0,0
H080,serpentinite_simulated,13.2,589.0,2500.0,conditional,209.4,155.4,129.264,0.6,SE,0,0,0,0,0,1,0,0,0,0,1,0
H081,ultramafic_simulated,8.8,690.0,2372.0,no-go,211.1,154.5,129.28,0.6,SE,0,0,0,0,0,0,0,1,0,0,0,1
H082,ultramafic_simulated,6.6,219.0,2504.0,allowed,212.8,142.0,129.296,0.6,SE,0,0,0,0,0,0,0,1,0,1,0,0
H083,peridotite_simulated,2.6,564.0,1331.0,allowed,214.5,115.0,129.312,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H084,alluvium,12.8,382.0,429.0,no-go,216.3,145.4,129.328,0.6,SE,1,0,0,0,0,0,0,0,0,0,0,1
H085,mafic_volcanic_simulated,11.4,791.0,1874.0,allowed,218.1,105.5,129.344,0.6,SE,0,0,0,1,0,0,0,0,0,1,0,0
H086,ultramafic_simulated,7.3,857.0,1222.0,no-go,219.9,156.7,129.36,0.6,SE,0,0,0,0,0,0,0,1,0,0,0,1
H087,peridotite_simulated,7.2,1167.0,1593.0,allowed,221.8,130.9,129.376,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H088,serpentinite_simulated,14.1,780.0,2732.0,allowed,223.7,112.2,129.392,0.6,SE,0,0,0,0,0,1,0,0,0,1,0,0
H089,peridotite_simulated,3.9,1170.0,2248.0,conditional,225.7,114.4,129.408,0.6,SE,0,0,0,0,1,0,0,0,0,0,1,0
H090,peridotite_simulated,17.9,1102.0,1777.0,allowed,227.7,107.0,129.424,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H091,ultramafic_simulated,6.4,1015.0,3437.0,allowed,229.7,114.6,129.44,0.6,SE,0,0,0,0,0,0,0,1,0,1,0,0
H092,mafic_volcanic_simulated,16.1,1048.0,1184.0,allowed,231.7,147.4,129.456,0.6,SE,0,0,0,1,0,0,0,0,0,1,0,0
H093,peridotite_simulated,6.5,414.0,2178.0,no-go,233.8,159.9,129.472,0.6,SE,0,0,0,0,1,0,0,0,0,0,0,1
H094,peridotite_simulated,10.8,689.0,1757.0,allowed,235.9,119.3,129.488,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H095,peridotite_simulated,14.4,129.0,2683.0,allowed,238.0,142.3,129.504,0.6,SE,0,0,0,0,1,0,0,0,0,1,0,0
H096,ultramafic_simulated,17.7,635.0,418.0,no-go,240.2,130.1,129.52,0.6,SE,0,0,0,0,0,0,0,1,0,0,0,1
H097,mafic_volcanic_simulated,10.4,592.0,2612.0,allowed,242.3,124.6,129.536,0.6,SE,0,0,0,1,0,0,0,0,0,1,0,0
H098,peridotite_simulated,7.4,856.0,2379.0,no-go,244.5,151.1,129.552,0.6,SE,0,0,0,0,1,0,0,0,0,0,0,1
H099,ultramafic_simulated,16.0,120.0,519.0,conditional,246.8,137.9,129.568,0.6,SE,0,0,0,0,0,0,0,1,0,0,1,0
H100,serpentinite_simulated,16.0,577.0,2521.0,conditional,249.0,154.2,129.584,0.6,SE,0,0,0,0,0,1,0,0,0,0,1,0
H101,serpentinite_simulated,11.1,968.0,844.0,allowed,246.8,104.7,128.0,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H102,serpentinite_simulated,4.3,596.0,1113.0,no-go,244.5,115.3,128.016,0.616,SW,0,0,0,0,0,1,0,0,0,0,0,1
H103,serpentinite_simulated,12.2,555.0,1100.0,allowed,242.2,150.7,128.032,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H104,peridotite_simulated,11.2,724.0,3477.0,allowed,240.0,117.7,128.048,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H105,ultramafic_simulated,2.8,759.0,1890.0,conditional,237.8,154.2,128.064,0.616,SW,0,0,0,0,0,0,0,1,0,0,1,0
H106,peridotite_simulated,12.2,775.0,2469.0,allowed,235.6,143.3,128.08,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H107,peridotite_simulated,12.3,426.0,1711.0,no-go,233.5,134.8,128.096,0.616,SW,0,0,0,0,1,0,0,0,0,0,0,1
H108,serpentinite_simulated,4.8,228.0,2026.0,conditional,231.4,158.3,128.112,0.616,SW,0,0,0,0,0,1,0,0,0,0,1,0
H109,ultramafic_simulated,15.2,620.0,2881.0,allowed,229.3,144.8,128.128,0.616,SW,0,0,0,0,0,0,0,1,0,1,0,0
H110,alluvium,17.5,1043.0,2617.0,allowed,227.2,158.8,128.144,0.616,SW,1,0,0,0,0,0,0,0,0,1,0,0
H111,serpentinite_simulated,9.3,834.0,2451.0,allowed,225.2,135.1,128.16,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H112,serpentinite_simulated,11.0,1105.0,1008.0,no-go,223.2,103.8,128.176,0.616,SW,0,0,0,0,0,1,0,0,0,0,0,1
H113,serpentinite_simulated,6.9,632.0,611.0,no-go,221.2,153.2,128.192,0.616,SW,0,0,0,0,0,1,0,0,0,0,0,1
H114,ultramafic_simulated,17.1,549.0,2675.0,conditional,219.2,109.3,128.208,0.616,SW,0,0,0,0,0,0,0,1,0,0,1,0
H115,peridotite_simulated,17.2,117.0,1486.0,allowed,217.3,126.6,128.224,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H116,serpentinite_simulated,5.0,217.0,3014.0,allowed,215.5,127.3,128.24,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H117,peridotite_simulated,14.6,353.0,703.0,allowed,213.6,133.9,128.256,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H118,mafic_volcanic_simulated,4.4,1089.0,309.0,allowed,211.8,151.5,128.272,0.616,SW,0,0,0,1,0,0,0,0,0,1,0,0
H119,serpentinite_simulated,12.6,109.0,348.0,allowed,210.1,147.4,128.288,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H120,serpentinite_simulated,13.9,669.0,2686.0,allowed,208.3,128.6,128.304,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H121,serpentinite_simulated,17.1,129.0,2806.0,allowed,206.7,152.0,128.32,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H122,alluvium,9.7,530.0,2496.0,allowed,205.0,129.4,128.336,0.616,SW,1,0,0,0,0,0,0,0,0,1,0,0
H123,serpentinite_simulated,12.1,694.0,1341.0,allowed,203.4,159.7,128.352,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H124,peridotite_simulated,13.2,1035.0,2383.0,allowed,201.9,146.1,128.368,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H125,peridotite_simulated,7.4,588.0,1631.0,allowed,200.3,105.7,128.384,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H126,serpentinite_simulated,16.8,155.0,2962.0,allowed,198.9,105.6,128.4,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H127,peridotite_simulated,7.3,217.0,1432.0,allowed,197.5,139.9,128.416,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H128,peridotite_simulated,12.5,331.0,646.0,allowed,196.1,150.7,128.432,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H129,peridotite_simulated,15.5,1171.0,2919.0,no-go,194.8,136.8,128.448,0.616,SW,0,0,0,0,1,0,0,0,0,0,0,1
H130,mafic_volcanic_simulated,6.3,282.0,2549.0,no-go,193.5,118.5,128.464,0.616,SW,0,0,0,1,0,0,0,0,0,0,0,1
H131,peridotite_simulated,12.1,114.0,2688.0,allowed,192.3,112.9,128.48,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H132,serpentinite_simulated,14.4,716.0,572.0,conditional,191.1,103.2,128.496,0.616,SW,0,0,0,0,0,1,0,0,0,0,1,0
H133,ultramafic_simulated,12.6,624.0,1715.0,allowed,190.0,116.4,128.512,0.616,SW,0,0,0,0,0,0,0,1,0,1,0,0
H134,peridotite_simulated,12.9,625.0,2435.0,allowed,188.9,102.7,128.528,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H135,serpentinite_simulated,5.4,234.0,1118.0,allowed,187.9,119.7,128.544,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H136,ultramafic_simulated,15.3,983.0,531.0,allowed,187.0,151.7,128.56,0.616,SW,0,0,0,0,0,0,0,1,0,1,0,0
H137,ultramafic_simulated,3.8,103.0,1339.0,allowed,186.1,148.1,128.576,0.616,SW,0,0,0,0,0,0,0,1,0,1,0,0
H138,mafic_volcanic_simulated,15.5,353.0,2184.0,allowed,185.3,131.4,128.592,0.616,SW,0,0,0,1,0,0,0,0,0,1,0,0
H139,serpentinite_simulated,4.7,652.0,665.0,allowed,184.5,130.6,128.608,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H140,ultramafic_simulated,15.0,345.0,769.0,no-go,183.8,111.8,128.624,0.616,SW,0,0,0,0,0,0,0,1,0,0,0,1
H141,ultramafic_simulated,14.4,633.0,2714.0,allowed,183.1,145.6,128.64,0.616,SW,0,0,0,0,0,0,0,1,0,1,0,0
H142,peridotite_simulated,12.0,1048.0,2307.0,conditional,182.6,109.1,128.656,0.616,SW,0,0,0,0,1,0,0,0,0,0,1,0
H143,serpentinite_simulated,2.9,648.0,1293.0,allowed,182.0,127.1,128.672,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H144,peridotite_simulated,10.9,967.0,3167.0,allowed,181.6,127.0,128.688,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H145,serpentinite_simulated,4.4,149.0,631.0,allowed,181.2,153.9,128.704,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H146,peridotite_simulated,6.0,570.0,1706.0,allowed,180.9,131.4,128.72,0.616,SW,0,0,0,0,1,0,0,0,0,1,0,0
H147,serpentinite_simulated,7.4,750.0,2826.0,allowed,180.6,138.8,128.736,0.616,SW,0,0,0,0,0,1,0,0,0,1,0,0
H148,ultramafic_simulated,16.5,1058.0,1367.0,conditional,180.4,135.0,128.752,0.616,SW,0,0,0,0,0,0,0,1,0,0,1,0
H149,alluvium,8.3,746.0,3302.0,conditional,180.3,118.6,128.768,0.616,SW,1,0,0,0,0,0,0,0,0,0,1,0
H150,ultramafic_simulated,15.3,907.0,2493.0,conditional,180.2,131.6,128.784,0.616,SW,0,0,0,0,0,0,0,1,0,0,1,0
H151,serpentinite_simulated,4.9,320.0,3333.0,allowed,180.2,129.2,128.8,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H152,serpentinite_simulated,3.6,943.0,2972.0,no-go,180.3,153.0,128.816,0.616,SE,0,0,0,0,0,1,0,0,0,0,0,1
H153,ultramafic_simulated,8.0,262.0,2960.0,allowed,180.4,146.3,128.832,0.616,SE,0,0,0,0,0,0,0,1,0,1,0,0
H154,peridotite_simulated,12.8,346.0,1721.0,allowed,180.6,117.1,128.848,0.616,SE,0,0,0,0,1,0,0,0,0,1,0,0
H155,peridotite_simulated,14.9,605.0,2972.0,allowed,180.9,122.1,128.864,0.616,SE,0,0,0,0,1,0,0,0,0,1,0,0
H156,serpentinite_simulated,17.5,995.0,2864.0,allowed,181.2,108.3,128.88,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H157,mafic_volcanic_simulated,3.6,1027.0,3024.0,allowed,181.6,117.1,128.896,0.616,SE,0,0,0,1,0,0,0,0,0,1,0,0
H158,mafic_volcanic_simulated,9.0,1140.0,1011.0,allowed,182.0,127.1,128.912,0.616,SE,0,0,0,1,0,0,0,0,0,1,0,0
H159,serpentinite_simulated,5.8,1194.0,1500.0,allowed,182.6,101.7,128.928,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H160,serpentinite_simulated,15.3,860.0,744.0,allowed,183.1,142.3,128.944,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H161,serpentinite_simulated,15.4,695.0,2627.0,allowed,183.8,131.7,128.96,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H162,serpentinite_simulated,8.7,969.0,1763.0,allowed,184.5,106.7,128.976,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H163,serpentinite_simulated,5.9,241.0,1674.0,allowed,185.3,136.9,128.992,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H164,ultramafic_simulated,17.6,156.0,1983.0,allowed,186.1,130.4,129.008,0.616,SE,0,0,0,0,0,0,0,1,0,1,0,0
H165,peridotite_simulated,6.1,98.0,2823.0,no-go,187.0,120.7,129.024,0.616,SE,0,0,0,0,1,0,0,0,0,0,0,1
H166,ultramafic_simulated,7.3,130.0,2047.0,conditional,187.9,148.8,129.04,0.616,SE,0,0,0,0,0,0,0,1,0,0,1,0
H167,peridotite_simulated,3.0,949.0,1765.0,no-go,188.9,117.6,129.056,0.616,SE,0,0,0,0,1,0,0,0,0,0,0,1
H168,peridotite_simulated,14.1,294.0,1442.0,allowed,190.0,146.9,129.072,0.616,SE,0,0,0,0,1,0,0,0,0,1,0,0
H169,serpentinite_simulated,16.2,913.0,3163.0,allowed,191.1,123.2,129.088,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H170,peridotite_simulated,10.3,977.0,2627.0,no-go,192.3,104.7,129.104,0.616,SE,0,0,0,0,1,0,0,0,0,0,0,1
H171,peridotite_simulated,3.3,820.0,1281.0,allowed,193.5,136.2,129.12,0.616,SE,0,0,0,0,1,0,0,0,0,1,0,0
H172,serpentinite_simulated,15.9,475.0,3494.0,allowed,194.8,116.5,129.136,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H173,serpentinite_simulated,12.9,1147.0,757.0,no-go,196.1,136.5,129.152,0.616,SE,0,0,0,0,0,1,0,0,0,0,0,1
H174,peridotite_simulated,12.9,1143.0,1490.0,conditional,197.5,145.8,129.168,0.616,SE,0,0,0,0,1,0,0,0,0,0,1,0
H175,serpentinite_simulated,6.0,207.0,2654.0,conditional,198.9,129.9,129.184,0.616,SE,0,0,0,0,0,1,0,0,0,0,1,0
H176,serpentinite_simulated,9.1,1196.0,1214.0,allowed,200.3,155.0,129.2,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H177,mafic_volcanic_simulated,16.4,579.0,581.0,allowed,201.9,140.9,129.216,0.616,SE,0,0,0,1,0,0,0,0,0,1,0,0
H178,serpentinite_simulated,10.7,1078.0,3024.0,allowed,203.4,142.7,129.232,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H179,serpentinite_simulated,4.2,965.0,384.0,allowed,205.0,133.2,129.248,0.616,SE,0,0,0,0,0,1,0,0,0,1,0,0
H180,peridotite_simulated,3.4,426.0,3499.0,conditional,206.7,143.1,129.264,0.616,SE,0,0,0,0,1,0,0,0,0,0,1,0
H181,ultramafic_simulated,17.6,799.0,1740.0,allowed,208.3,140.8,129.28,0.616,SE,0,0,0,0,0,0,0,1,0,1,0,0
H182,ultramafic_simulated,4.9,1162.0,1684.0,conditional,210.1,154.6,129.296,0.616,SE,0,0,0,0,0,0,0,1,0,0,1,0
H183,serpentinite_simulated,7.5,1134.0,3164.0,conditional,211.8,150.8,129.312,0.616,SE,0,0,0,0,0,1,0,0,0,0,1,0
H184,peridotite_simulated,6.8,677.0,1908.0,allowed,213.6,110.1,129.328,0.616,SE,0,0,0,0,1,0,0,0,0,1,0,0
H185,peridotite_simulated,11.0,1004.0,391.0,no-go,215.5,102.7,129.344,0.616,SE,0,0,0,0,1,0,0,0,0,0,0,1
H186,ultramafic_simulated,8.7,796.0,1894.0,conditional,217.3,137.6,129.36,0.616,SE,0,0,0,0,0,0,0,1,0,0,1,0
H187,ultramafic_simulated,3.2,147.0,1707.0,allowed,219.2,129.1,129.376,0.616,SE,0,0,0,0,0,0,0,1,0,1,0,0
