point_id,grid_id,latitude,longitude,time,line_id,mag_raw_nT,qc_flag
MH0302,H030,0.603186,128.471994,2026-07-03 09:46:00,L04,45627.7,valid
MH0311,H031,0.609028,128.483155,2026-07-03 12:45:00,L03,44831.9,valid
MH0312,H031,0.606911,128.483755,2026-07-03 11:17:00,L02,43878.8,valid
MH0321,H032,0.612316,128.507543,2026-07-03 15:40:00,L06,44504.2,valid
MH0322,H032,0.602202,128.503108,2026-07-03 15:12:00,L05,44721.2,valid
MH0331,H033,0.610283,128.520894,2026-07-03 08:05:00,L02,44345.9,valid
MH0332,H033,0.60953,128.521854,2026-07-03 09:32:00,L05,44540.0,valid
MH0341,H034,0.610754,128.535858,2026-07-03 12:56:00,L01,45876.6,valid
MH0342,H034,0.613642,128.532766,2026-07-03 12:56:00,L01,45128.7,valid
MH0351,H035,0.613864,128.553797,2026-07-03 13:14:00,L01,46367.7,valid
MH0352,H035,0.612507,128.557382,2026-07-03 15:33:00,L04,45065.6,valid
MH0361,H036,0.610661,128.563212,2026-07-03 10:15:00,L06,45459.7,valid
MH0362,H036,0.602622,128.571567,2026-07-03 07:08:00,L06,45793.8,valid
MH0371,H037,0.609672,128.584673,2026-07-03 15:13:00,L03,44024.1,valid
MH0372,H037,0.604269,128.587903,2026-07-03 07:50:00,L02,44917.8,valid
MH0381,H038,0.606535,128.605357,2026-07-03 07:39:00,L01,44828.0,valid
MH0382,H038,0.603429,128.599206,2026-07-03 07:13:00,L06,43683.1,valid
MH0391,H039,0.602174,128.61261,2026-07-03 15:35:00,L01,45546.0,valid
MH0392,H039,0.606899,128.616726,2026-07-03 13:10:00,L05,44944.7,valid
MH0393,H039,0.603407,128.611785,2026-07-03 14:22:00,L03,43599.8,valid
MH0401,H040,0.604341,128.63718,2026-07-03 16:48:00,L06,45354.0,valid
MH0402,H040,0.608093,128.634476,2026-07-03 13:34:00,L06,45700.2,valid
MH0411,H041,0.611889,128.65215,2026-07-03 12:57:00,L02,44892.2,valid
MH0412,H041,0.612722,128.643365,2026-07-03 12:38:00,L05,46904.0,valid
MH0421,H042,0.604545,128.663041,2026-07-03 15:23:00,L06,46007.1,valid
MH0422,H042,0.607458,128.667802,2026-07-03 11:50:00,L02,45584.4,valid
MH0423,H042,0.61168,128.659415,2026-07-03 13:07:00,L05,46689.2,valid
MH0431,H043,0.602319,128.684915,2026-07-03 15:47:00,L01,47383.3,valid
MH0432,H043,0.60907,128.683434,2026-07-03 16:02:00,L01,46584.1,valid
MH0441,H044,0.608396,128.70051,2026-07-03 09:36:00,L03,47104.9,valid
MH0442,H044,0.608408,128.696637,2026-07-03 07:56:00,L04,45388.2,valid
MH0451,H045,0.612893,128.716555,2026-07-03 14:30:00,L02,47108.5,valid
MH0452,H045,0.608868,128.715881,2026-07-03 11:55:00,L01,46069.4,valid
MH0461,H046,0.609078,128.726735,2026-07-03 09:11:00,L01,45125.3,valid
MH0462,H046,0.612899,128.72438,2026-07-03 08:15:00,L04,45138.7,valid
MH0471,H047,0.610491,128.746514,2026-07-03 12:04:00,L02,44603.5,valid
MH0472,H047,0.606724,128.742888,2026-07-03 13:30:00,L05,44587.1,valid
MH0481,H048,0.60473,128.763739,2026-07-03 13:14:00,L06,43817.9,valid
MH0482,H048,0.610918,128.75485,2026-07-03 07:24:00,L06,43841.7,valid
MH0491,H049,0.610055,128.771761,2026-07-03 11:03:00,L03,44995.7,valid
MH0492,H049,0.612427,128.775831,2026-07-03 09:56:00,L01,44933.9,valid
MH0501,H050,0.610292,128.787582,2026-07-03 11:56:00,L04,45862.5,valid
MH0502,H050,0.608568,128.792952,2026-07-03 13:41:00,L05,45968.0,valid
MH0511,H051,0.604285,128.811773,2026-07-03 08:30:00,L02,43372.9,valid
MH0512,H051,0.612726,128.810051,2026-07-03 12:26:00,L02,43623.2,valid
MH0521,H052,0.604492,128.824692,2026-07-03 16:43:00,L06,45614.7,valid
MH0522,H052,0.606607,128.825303,2026-07-03 12:52:00,L01,46156.5,valid
MH0531,H053,0.611551,128.834151,2026-07-03 07:39:00,L03,45599.9,valid
MH0532,H053,0.609322,128.838091,2026-07-03 13:36:00,L06,46052.2,valid
MH0541,H054,0.605854,128.855336,2026-07-03 13:19:00,L03,45344.8,valid
MH0542,H054,0.603546,128.853532,2026-07-03 16:31:00,L03,44283.1,valid
MH0543,H054,0.606869,128.855018,2026-07-03 11:38:00,L01,44689.4,valid
MH0551,H055,0.605771,128.874251,2026-07-03 15:41:00,L04,43353.0,valid
MH0552,H055,0.609946,128.868398,2026-07-03 15:05:00,L02,42906.9,valid
MH0561,H056,0.607163,128.88979,2026-07-03 13:19:00,L06,44312.5,valid
MH0562,H056,0.612694,128.882339,2026-07-03 16:28:00,L02,44210.9,valid
MH0563,H056,0.610144,128.883891,2026-07-03 07:28:00,L02,44571.7,valid
MH0571,H057,0.611914,128.90723,2026-07-03 08:25:00,L01,45003.9,valid
MH0572,H057,0.609139,128.90725,2026-07-03 13:59:00,L03,44929.1,valid
MH0581,H058,0.611597,128.917324,2026-07-03 11:45:00,L05,46786.2,valid
MH0582,H058,0.613034,128.914185,2026-07-03 14:33:00,L01,45575.4,valid
MH0591,H059,0.602421,128.935504,2026-07-03 09:13:00,L04,44175.1,valid
MH0592,H059,0.611591,128.932301,2026-07-03 09:47:00,L02,43611.9,valid
MH0601,H060,0.611482,128.954622,2026-07-03 11:00:00,L05,44680.9,valid
MH0602,H060,0.604924,128.954265,2026-07-03 09:43:00,L04,44067.5,valid
MH0611,H061,0.610889,128.973447,2026-07-03 15:26:00,L06,45084.0,valid
MH0612,H061,0.606387,128.971805,2026-07-03 10:27:00,L01,43970.4,valid
MH0621,H062,0.602542,128.989343,2026-07-03 14:17:00,L06,45248.2,valid
MH0622,H062,0.611622,128.986132,2026-07-03 16:35:00,L05,44480.5,valid
MH0631,H063,0.608711,129.002923,2026-07-03 11:10:00,L04,44809.5,valid
MH0632,H063,0.60647,128.996183,2026-07-03 12:51:00,L03,43448.5,valid
MH0633,H063,0.607732,128.998807,2026-07-03 15:52:00,L05,43608.7,valid
MH0641,H064,0.602602,129.015142,2026-07-03 11:22:00,L06,45991.1,valid
MH0642,H064,0.611258,129.014617,2026-07-03 09:26:00,L01,45851.7,valid
MH0651,H065,0.604237,129.032578,2026-07-03 12:41:00,L04,43862.3,valid
MH0652,H065,0.602538,129.027607,2026-07-03 07:10:00,L04,43857.1,valid
MH0661,H066,0.612866,129.052516,2026-07-03 09:13:00,L03,44403.7,valid
MH0662,H066,0.609291,129.044182,2026-07-03 14:26:00,L04,44510.8,valid
MH0671,H067,0.613464,129.065848,2026-07-03 07:34:00,L04,45309.3,valid
MH0672,H067,0.611672,129.068085,2026-07-03 12:10:00,L02,45607.1,valid
MH0681,H068,0.611513,129.078584,2026-07-03 08:23:00,L02,45112.0,valid
MH0682,H068,0.606158,129.076183,2026-07-03 13:31:00,L03,45557.8,valid
MH0691,H069,0.607239,129.095154,2026-07-03 11:10:00,L06,45148.4,valid
MH0692,H069,0.611362,129.100075,2026-07-03 09:07:00,L06,44481.5,valid
MH0701,H070,0.6113,129.108067,2026-07-03 15:28:00,L05,44093.3,valid
MH0702,H070,0.603037,129.112885,2026-07-03 07:19:00,L03,44454.6,valid
MH0711,H071,0.604183,129.126077,2026-07-03 14:03:00,L06,44511.1,valid
MH0712,H071,0.612627,129.133207,2026-07-03 16:07:00,L03,44717.7,valid
MH0721,H072,0.602127,129.144116,2026-07-03 10:13:00,L03,44739.3,valid
MH0722,H072,0.602566,129.149568,2026-07-03 10:23:00,L02,45903.6,valid
MH0731,H073,0.605547,129.161763,2026-07-03 13:09:00,L02,45183.5,valid
MH0732,H073,0.603818,129.160252,2026-07-03 08:14:00,L03,44772.0,valid
MH0741,H074,0.612187,129.177175,2026-07-03 10:20:00,L04,46773.5,valid
MH0742,H074,0.606291,129.177257,2026-07-03 10:37:00,L03,47014.2,valid
MH0751,H075,0.605665,129.189856,2026-07-03 15:30:00,L06,43299.9,valid
MH0752,H075,0.602806,129.188727,2026-07-03 10:03:00,L06,43735.0,valid
MH0761,H076,0.607137,129.211634,2026-07-03 14:05:00,L01,44942.2,valid
MH0762,H076,0.605906,129.209567,2026-07-03 14:44:00,L06,44942.9,valid
MH0771,H077,0.604686,129.223199,2026-07-03 10:56:00,L02,43189.0,valid
MH0772,H077,0.605034,129.219426,2026-07-03 07:00:00,L04,42736.1,valid
MH0773,H077,0.610049,129.224061,2026-07-03 09:42:00,L01,43140.9,valid
MH0781,H078,0.60227,129.236012,2026-07-03 07:32:00,L05,44199.7,valid
MH0782,H078,0.604536,129.238125,2026-07-03 10:14:00,L06,45225.6,valid
MH0791,H079,0.606576,129.252411,2026-07-03 09:42:00,L03,45068.6,valid
MH0792,H079,0.610386,129.250921,2026-07-03 10:27:00,L03,44084.1,valid
MH0801,H080,0.610694,129.268379,2026-07-03 16:47:00,L01,45450.7,valid
MH0802,H080,0.612911,129.277884,2026-07-03 12:41:00,L03,45932.7,valid
MH0811,H081,0.611813,129.291067,2026-07-03 13:14:00,L05,44062.5,valid
MH0812,H081,0.606312,129.282523,2026-07-03 09:25:00,L02,43937.1,valid
MH0821,H082,0.60441,129.29862,2026-07-03 14:30:00,L04,44913.6,valid
MH0822,H082,0.604951,129.302672,2026-07-03 08:37:00,L03,44744.6,valid
MH0831,H083,0.603104,129.319904,2026-07-03 11:31:00,L05,44741.8,valid
MH0832,H083,0.602745,129.321195,2026-07-03 16:01:00,L06,45403.1,valid
MH0841,H084,0.605526,129.338967,2026-07-03 15:46:00,L03,42870.9,valid
MH0842,H084,0.604223,129.33835,2026-07-03 07:56:00,L01,43267.5,valid
MH0851,H085,0.610512,129.349718,2026-07-03 12:57:00,L03,43470.4,valid
MH0852,H085,0.609668,129.348172,2026-07-03 16:20:00,L05,43989.2,valid
MH0853,H085,0.602466,129.357599,2026-07-03 11:31:00,L02,44041.1,valid
MH0861,H086,0.608593,129.369025,2026-07-03 11:33:00,L06,44677.3,valid
MH0862,H086,0.609558,129.372899,2026-07-03 15:41:00,L03,44729.0,valid
MH0871,H087,0.609198,129.380055,2026-07-03 13:11:00,L03,45314.4,valid
MH0872,H087,0.60977,129.381628,2026-07-03 07:14:00,L06,44726.2,valid
MH0881,H088,0.605019,129.399479,2026-07-03 08:50:00,L05,46715.9,valid
MH0882,H088,0.612971,129.402104,2026-07-03 10:50:00,L01,46223.0,valid
MH0883,H088,0.602779,129.399466,2026-07-03 14:14:00,L02,45205.0,valid
MH0891,H089,0.605615,129.419189,2026-07-03 16:28:00,L02,45199.6,valid
MH0892,H089,0.610556,129.421805,2026-07-03 12:51:00,L02,44874.5,valid
MH0901,H090,0.607788,129.430178,2026-07-03 12:13:00,L01,45227.7,valid
MH0902,H090,0.611873,129.436949,2026-07-03 13:23:00,L06,45746.2,valid
MH0911,H091,0.609592,129.45099,2026-07-03 08:56:00,L03,44577.4,valid
MH0912,H091,0.613855,129.445421,2026-07-03 12:21:00,L04,44296.1,valid
MH0921,H092,0.602678,129.464192,2026-07-03 15:48:00,L03,43221.2,valid
MH0922,H092,0.613589,129.465776,2026-07-03 12:40:00,L05,43943.3,valid
MH0931,H093,0.607173,129.478019,2026-07-03 08:18:00,L01,44057.9,valid
MH0932,H093,0.611331,129.483539,2026-07-03 15:24:00,L05,45769.5,valid
MH0941,H094,0.60277,129.494117,2026-07-03 14:11:00,L05,45081.6,valid
MH0942,H094,0.604678,129.497104,2026-07-03 08:37:00,L04,44506.8,valid
MH0951,H095,0.609559,129.517323,2026-07-03 13:13:00,L04,45397.2,valid
MH0952,H095,0.607263,129.516745,2026-07-03 11:01:00,L05,44250.7,valid
MH0961,H096,0.602483,129.529777,2026-07-03 14:21:00,L06,43780.6,valid
MH0962,H096,0.610007,129.522953,2026-07-03 14:40:00,L04,44015.3,valid
MH0971,H097,0.608094,129.544716,2026-07-03 08:39:00,L02,43354.9,valid
MH0972,H097,0.608169,129.54622,2026-07-03 15:15:00,L04,44064.4,valid
MH0981,H098,0.610433,129.55901,2026-07-03 14:36:00,L03,45776.3,valid
MH0982,H098,0.602197,129.56083,2026-07-03 15:50:00,L01,44795.5,valid
MH0991,H099,0.611386,129.573543,2026-07-03 14:45:00,L03,44741.7,valid
MH0992,H099,0.602269,129.579809,2026-07-03 09:15:00,L03,44498.4,valid
MH1001,H100,0.613086,129.593857,2026-07-03 14:08:00,L06,44930.5,valid
MH1002,H100,0.608827,129.595769,2026-07-03 16:33:00,L05,45410.9,valid
MH1003,H100,0.607193,129.587245,2026-07-03 09:09:00,L04,46198.4,valid
MH1011,H101,0.619308,128.005019,2026-07-03 07:06:00,L03,46035.1,valid
MH1012,H101,0.627945,128.01392,2026-07-03 10:47:00,L06,46705.5,valid
MH1021,H102,0.62033,128.018302,2026-07-03 08:43:00,L02,44774.7,valid
MH1022,H102,0.620472,128.029289,2026-07-03 13:49:00,L06,45910.7,valid
MH1031,H103,0.621495,128.038219,2026-07-03 09:55:00,L03,46382.0,valid
MH1032,H103,0.624704,128.034095,2026-07-03 13:58:00,L03,47200.5,valid
MH1041,H104,0.625724,128.050993,2026-07-03 14:44:00,L03,45021.7,valid
MH1042,H104,0.626186,128.057341,2026-07-03 12:12:00,L05,44624.2,valid
MH1051,H105,0.624925,128.067493,2026-07-03 11:57:00,L02,44863.3,valid
MH1052,H105,0.62699,128.07549,2026-07-03 16:10:00,L05,44037.8,valid
MH1053,H105,0.625678,128.070495,2026-07-03 13:05:00,L01,45351.6,valid
MH1061,H106,0.626275,128.083282,2026-07-03 16:12:00,L05,44486.5,valid
MH1062,H106,0.62431,128.090134,2026-07-03 09:05:00,L05,44669.8,valid
MH1071,H107,0.619509,128.0994,2026-07-03 13:21:00,L02,44928.4,valid
MH1072,H107,0.621989,128.100481,2026-07-03 09:00:00,L04,44453.1,valid
MH1081,H108,0.628209,128.117379,2026-07-03 16:55:00,L02,45296.1,valid
MH1082,H108,0.619593,128.122515,2026-07-03 15:35:00,L01,45554.8,valid
MH1091,H109,0.623438,128.137919,2026-07-03 10:34:00,L05,44337.2,valid
MH1092,H109,0.621882,128.137406,2026-07-03 07:58:00,L06,44249.1,valid
MH1101,H110,0.61811,128.146951,2026-07-03 08:36:00,L02,43582.1,valid
MH1102,H110,0.626487,128.147017,2026-07-03 08:40:00,L03,43104.5,valid
MH1111,H111,0.624324,128.163531,2026-07-03 07:10:00,L05,45475.5,valid
MH1112,H111,0.618468,128.168685,2026-07-03 12:26:00,L01,46536.9,valid
MH1121,H112,0.624121,128.189891,2026-07-03 13:09:00,L03,46153.1,valid
MH1122,H112,0.624215,128.181911,2026-07-03 13:26:00,L01,47126.4,valid
MH1131,H113,0.618398,128.205237,2026-07-03 11:58:00,L03,46590.2,valid
MH1132,H113,0.628052,128.204279,2026-07-03 09:54:00,L02,45234.4,valid
MH1141,H114,0.622862,128.213946,2026-07-03 07:17:00,L03,44466.9,valid
MH1142,H114,0.624028,128.218184,2026-07-03 14:20:00,L04,45542.6,valid
MH1143,H114,0.625453,128.211939,2026-07-03 16:09:00,L04,44645.7,valid
MH1151,H115,0.625118,128.230616,2026-07-03 12:40:00,L05,45228.6,valid
MH1152,H115,0.619156,128.228973,2026-07-03 11:58:00,L05,44700.8,valid
MH1153,H115,0.627851,128.233226,2026-07-03 08:34:00,L04,44199.4,valid
MH1161,H116,0.619033,128.248279,2026-07-03 15:46:00,L06,46874.0,valid
MH1162,H116,0.625215,128.24257,2026-07-03 08:14:00,L01,46306.4,valid
MH1171,H117,0.627746,128.266738,2026-07-03 10:57:00,L03,45297.1,valid
MH1172,H117,0.622796,128.258162,2026-07-03 16:23:00,L05,44161.2,valid
MH1181,H118,0.618829,128.274145,2026-07-03 08:15:00,L06,43825.4,valid
MH1182,H118,0.626982,128.276672,2026-07-03 12:06:00,L05,43597.5,valid
MH1191,H119,0.620405,128.297324,2026-07-03 10:34:00,L04,45995.2,valid
MH1192,H119,0.620569,128.301715,2026-07-03 09:44:00,L02,45703.6,valid
MH1201,H120,0.619452,128.311687,2026-07-03 07:57:00,L03,45322.8,valid
MH1202,H120,0.624762,128.308306,2026-07-03 09:26:00,L03,46394.2,valid
MH1211,H121,0.622822,128.327218,2026-07-03 14:12:00,L01,45352.2,valid
MH1212,H121,0.622953,128.322679,2026-07-03 09:42:00,L02,46932.5,valid
MH1221,H122,0.618127,128.348963,2026-07-03 09:32:00,L02,43811.8,valid
MH1222,H122,0.618796,128.339029,2026-07-03 14:18:00,L04,42681.7,valid
MH1223,H122,0.627807,128.339841,2026-07-03 12:27:00,L06,43755.9,valid
MH1231,H123,0.62586,128.365212,2026-07-03 08:15:00,L06,46122.1,valid
MH1232,H123,0.623476,128.354515,2026-07-03 07:11:00,L05,47041.9,valid
MH1241,H124,0.623149,128.373308,2026-07-03 08:24:00,L06,44319.7,valid
MH1242,H124,0.626391,128.373319,2026-07-03 15:04:00,L02,43929.4,valid
MH1251,H125,0.628709,128.394787,2026-07-03 08:43:00,L01,44442.9,valid
MH1252,H125,0.622121,128.395561,2026-07-03 08:08:00,L02,45560.2,valid
MH1261,H126,0.623024,128.402432,2026-07-03 15:27:00,L03,45778.4,valid
MH1262,H126,0.622038,128.402984,2026-07-03 15:50:00,L03,45506.6,valid
MH1271,H127,0.627926,128.429304,2026-07-03 10:29:00,L03,44095.1,valid
MH1272,H127,0.623993,128.420558,2026-07-03 09:12:00,L01,45197.0,valid
MH1273,H127,0.629628,128.422249,2026-07-03 09:19:00,L02,45199.9,valid
MH1281,H128,0.6271,128.436544,2026-07-03 07:42:00,L04,44842.5,valid
MH1282,H128,0.627606,128.434154,2026-07-03 10:24:00,L04,45422.1,valid
MH1291,H129,0.619636,128.458534,2026-07-03 07:00:00,L06,45178.1,valid
MH1292,H129,0.619169,128.452253,2026-07-03 16:00:00,L04,45622.9,valid
MH1301,H130,0.628562,128.471894,2026-07-03 14:51:00,L06,44444.9,valid
MH1302,H130,0.61903,128.4729,2026-07-03 12:44:00,L05,43485.2,valid
MH1303,H130,0.626838,128.470335,2026-07-03 14:22:00,L03,44284.3,valid
MH1311,H131,0.624746,128.485303,2026-07-03 14:05:00,L04,45958.9,valid
MH1312,H131,0.618958,128.483984,2026-07-03 09:29:00,L05,44533.3,valid
MH1321,H132,0.625491,128.501257,2026-07-03 11:35:00,L04,45193.1,valid
MH1322,H132,0.619716,128.498919,2026-07-03 16:24:00,L06,45609.0,valid
MH1331,H133,0.623654,128.515222,2026-07-03 08:52:00,L02,44370.7,valid
MH1332,H133,0.622923,128.518565,2026-07-03 08:51:00,L01,43809.1,valid
MH1341,H134,0.61828,128.538587,2026-07-03 15:13:00,L06,45772.6,valid
MH1342,H134,0.619802,128.535277,2026-07-03 15:52:00,L02,45619.3,valid
MH1351,H135,0.629625,128.550852,2026-07-03 12:03:00,L01,44804.9,valid
MH1352,H135,0.618823,128.550008,2026-07-03 14:50:00,L01,46219.9,valid
MH1361,H136,0.619316,128.566245,2026-07-03 08:46:00,L02,43596.0,valid
MH1362,H136,0.625191,128.563819,2026-07-03 08:08:00,L05,44572.5,valid
MH1363,H136,0.620913,128.56681,2026-07-03 14:06:00,L06,45486.0,valid
MH1371,H137,0.629598,128.586362,2026-07-03 08:17:00,L03,44127.6,valid
MH1372,H137,0.623598,128.585799,2026-07-03 09:58:00,L04,44155.6,valid
MH1381,H138,0.624253,128.601914,2026-07-03 10:19:00,L04,43071.5,valid
MH1382,H138,0.622821,128.594821,2026-07-03 16:35:00,L05,42990.4,valid
MH1383,H138,0.62297,128.60337,2026-07-03 16:49:00,L03,44324.2,valid
MH1391,H139,0.6233,128.615744,2026-07-03 16:07:00,L01,45087.8,valid
MH1392,H139,0.625452,128.615743,2026-07-03 09:41:00,L02,44692.9,valid
MH1401,H140,0.620804,128.632011,2026-07-03 15:24:00,L02,43609.2,valid
MH1402,H140,0.624376,128.630907,2026-07-03 10:57:00,L02,44279.5,valid
MH1411,H141,0.624309,128.650127,2026-07-03 11:19:00,L02,44091.2,valid
MH1412,H141,0.628549,128.651737,2026-07-03 15:36:00,L03,44000.9,valid
MH1413,H141,0.619587,128.642681,2026-07-03 16:51:00,L04,43982.1,valid
MH1421,H142,0.623383,128.664591,2026-07-03 09:18:00,L06,44179.1,valid
MH1422,H142,0.621255,128.662826,2026-07-03 10:06:00,L06,45186.0,valid
MH1431,H143,0.618093,128.676258,2026-07-03 12:04:00,L02,46283.7,valid
MH1432,H143,0.621095,128.682823,2026-07-03 07:19:00,L05,46737.3,valid
MH1441,H144,0.621428,128.695227,2026-07-03 10:43:00,L06,44350.3,valid
MH1442,H144,0.620398,128.692022,2026-07-03 08:14:00,L04,46380.7,valid
MH1451,H145,0.624903,128.710795,2026-07-03 09:18:00,L05,46369.9,valid
MH1452,H145,0.618722,128.706993,2026-07-03 10:23:00,L02,45852.7,valid
MH1461,H146,0.624108,128.731799,2026-07-03 07:54:00,L01,44599.7,valid
MH1462,H146,0.629548,128.722382,2026-07-03 14:25:00,L03,44801.5,valid
MH1471,H147,0.618618,128.741561,2026-07-03 08:49:00,L01,45147.9,valid
MH1472,H147,0.623475,128.739399,2026-07-03 09:09:00,L02,46388.2,valid
MH1481,H148,0.62803,128.758004,2026-07-03 13:30:00,L03,44651.8,valid
MH1482,H148,0.618395,128.764392,2026-07-03 11:29:00,L01,44448.3,valid
MH1491,H149,0.621581,128.781836,2026-07-03 13:26:00,L03,43214.4,valid
MH1492,H149,0.619406,128.773572,2026-07-03 09:02:00,L05,43728.4,valid
MH1501,H150,0.627015,128.797952,2026-07-03 10:46:00,L05,44144.4,valid
MH1502,H150,0.629785,128.791926,2026-07-03 09:37:00,L06,44818.5,valid
MH1511,H151,0.622565,128.805688,2026-07-03 15:08:00,L03,44722.4,valid
MH1512,H151,0.626047,128.810908,2026-07-03 07:47:00,L04,46766.0,valid
MH1513,H151,0.627219,128.813338,2026-07-03 09:25:00,L04,44712.7,valid
MH1521,H152,0.619267,128.826135,2026-07-03 11:12:00,L04,46420.2,valid
MH1522,H152,0.627133,128.828504,2026-07-03 12:16:00,L02,44818.8,valid
